enabled,name,main_url
1,電力・ガス取引監視等委員会,https://www.egc.meti.go.jp/activity/index_emsc.html
0,制度設計専門会合,https://www.egc.meti.go.jp/activity/index_system.html
1,制度設計・監視専門会合,https://www.egc.meti.go.jp/activity/index_systemsurveillance.html
0,料金審査専門会合 ,https://www.egc.meti.go.jp/activity/index_electricityreview.html
1,料金制度専門会合,https://www.egc.meti.go.jp/activity/index_electricity.html
0,料金制度ワーキング・グループ,https://www.egc.meti.go.jp/activity/index_feesystemwg.html
1,送配電効率化・計画進捗確認ワーキンググループ,https://www.egc.meti.go.jp/activity/index_optimize.html
1,火力電源入札専門会合,https://www.egc.meti.go.jp/activity/index_tender.html
0,電気の経過措置料金に関する専門会合,https://www.egc.meti.go.jp/activity/index_keika.html
0,送配電網の維持・運用費用の負担の在り方検討ワーキング・グループ,https://www.egc.meti.go.jp/activity/index_network.html
0,競争的な電力・ガス市場研究会,https://www.egc.meti.go.jp/activity/index_studygroup.html
0,海外におけるインバランス料金等の送配電関連制度に関する研究会,https://www.egc.meti.go.jp/activity/index_imbalance.html
0,局地的電力需要増加と送配電ネットワークに関する研究会,https://www.egc.meti.go.jp/activity/index_localdemand.html
0,長期脱炭素電源オークションにおける他市場収益の監視の在り方に関する検討会,https://www.egc.meti.go.jp/activity/index_decarbonization.html
0,電力・ガス取引監視等委員会の検証に関する専門会合,https://www.egc.meti.go.jp/activity/index_kensho.html
1,電力・ガス取引監視等委員会に関する検証,https://www.egc.meti.go.jp/activity/index_emscverification.html
